Firstname, Lastname, Age, Weight, Gender
Kelvin,Mckenzie,50,110,male
Aedan,Davidson,61,170,male
Kelsey,Scott,22,112,female
Taliyah,Myers,28,154,female
Ronin,Miles,32,248,male
Eden,Murillo,32,141,male
Aden,Mccann,41,205,male
Riley,Colon,70,189,male
Kassandra,Cox,45,113,female
Ray,English,31,156,male
Taliyah,Padilla,62,234,female
Jenna,Gutierrez,67,191,female
Maya,Walton,34,243,female
Kian,House,61,138,male
Kamila,Crawford,67,201,female
Breanna,Lowery,54,214,female
Zack,Alvarado,56,157,male
Dakota,Gay,29,174,male
Elaina,Holden,33,144,female
Abbie,Boyle,30,198,female
Amy,Buckley,53,192,female
Perla,Conley,24,181,female
Khalil,Eaton,40,116,male
Hadley,Valenzuela,20,240,female
Rashad,Lloyd,46,134,male
Kassandra,Lucas,31,228,female
Tyson,Turner,34,212,male
Lamont,Spears,32,135,male
Nathalie,Aguilar,62,219,female
Mikaela,Fox,50,116,female
Avah,Powell,57,99,female
Beckett,Chung,40,199,male
Daphne,Henderson,68,141,female
Reyna,Sheppard,20,114,female
Aleah,Navarro,24,162,female
Ciara,Moses,60,183,female
Maryjane,Miller,45,212,female
Gregory,Booker,46,200,male
Romeo,Boone,59,155,male
Dax,Wilcox,24,146,male
Sam,Rivera,44,145,male
Crystal,Wolf,30,129,female
Todd,Greer,34,177,male
Gauge,Hale,37,110,male
Diya,Manning,25,94,female
Alyvia,Gonzales,60,96,female
Elvis,Gregory,54,213,male
Braedon,Miller,68,179,male
Isabelle,Bishop,37,230,female
Caitlyn,Gallegos,41,165,female
India,Zuniga,63,206,female
Tate,Hayden,69,102,male
Frank,Mcpherson,30,215,male
Franco,Hendricks,40,249,male
Pablo,Hodge,63,155,male
Wendy,Nicholson,38,170,female
Kael,Frazier,32,110,male
Charlee,Banks,54,209,female
Elisa,Willis,27,152,female
Charlee,Riley,31,239,female
Alejandro,Gilmore,70,234,male
Katrina,Marquez,50,198,female
Mattie,Moran,41,225,female
Cherish,Harding,69,197,female
Jabari,Peck,53,192,male
Joanna,Alvarez,47,222,female
India,Wolf,29,244,female
Alexa,Cobb,25,106,female
Rachael,Griffith,54,156,female
Mary,Todd,63,148,female
Dax,Cunningham,21,200,male
Janiya,Ayers,69,159,female
Deacon,Thompson,50,213,male
Belinda,Estes,34,124,female
Julianne,Hayes,28,135,female
Zayden,Cisneros,65,227,male
Haylee,Grimes,37,173,female
Matteo,Henderson,65,179,male
Quinten,Huffman,53,137,male
Estrella,Snow,38,96,female
Hamza,Morrow,18,172,male
Avery,Bennett,32,186,female
Silas,Savage,24,174,male
Rogelio,Sellers,35,226,male
Braeden,Lawrence,36,106,male
Bryan,Arroyo,38,172,male
Chace,Holloway,31,216,male
Mckenzie,Hays,33,129,female
Belen,Santana,64,135,female
Harrison,Freeman,27,118,male
Kendall,King,45,140,female
Macey,Robbins,50,180,female
Mercedes,Patton,37,111,female
Courtney,Duke,56,110,female
Edith,Cooley,34,198,female
Rolando,Soto,32,237,male
Alexis,Mullen,66,143,male
Grant,Stark,68,112,male
Aditya,Mcdaniel,53,124,male
Rhys,Singleton,47,114,male
Jaylan,Lawrence,31,214,male
Marianna,Ortiz,26,123,female
Kimora,Cantu,50,162,female
Lucy,Morton,32,199,female
Hazel,Guzman,48,217,female
Amaris,Boyle,69,191,female
Mark,Allison,66,185,male
Monserrat,Liu,43,240,female
Kailyn,Burns,25,195,female
Lacey,Burnett,59,223,female
Amina,Rush,59,171,female
